,Mata Norte,Mata Sul,Agreste Central,Agreste Meridional,Agreste Sententrional,Sertão Central,Sertão de Itaparica,Sertão do Araripe,Sertão do São Francisco,Sertão do Moxotó,Sertão do Pajeú,Metropolitana,Pernambuco
2006,274,340,462,462,172,23,43,64,246,76,73,2658,4638
2007,230,428,420,420,172,39,43,76,180,86,74,2614,4592
2008,214,406,459,459,198,38,77,88,172,88,77,2455,4537
2009,226,339,427,427,189,47,46,127,132,78,68,2111,4016
2010,209,305,365,365,205,26,53,77,108,76,87,1772,3493
2011,213,297,411,411,160,43,82,98,129,58,66,1783,3533
2012,221,290,379,379,162,32,43,82,106,73,65,1655,3319
2013,212,322,789,389,180,37,33,92,129,58,51,1405,3100
2014,243,392,479,479,191,25,51,95,118,57,67,1520,3436
2015,303,393,618,618,223,49,52,108,174,49,57,1632,3889
2016,331,502,659,659,269,47,45,121,167,82,96,1887,4476